choice_id,product_id,choice,price,position
1,3,0,6,5
1,4,0,3,6
1,8,0,7,8
1,9,1,6,9
1,21,0,5,7
1,23,0,4,10
1,29,0,4,3
1,45,0,6,2
1,46,0,5,4
1,47,0,6,1
2,3,0,3,6
2,4,0,7,1
2,8,0,4,5
2,9,0,7,3
2,21,0,7,8
2,23,0,4,2
2,29,0,3,4
2,45,1,4,9
2,46,0,6,10
2,47,0,4,7
3,3,0,7,2
3,4,1,5,4
3,8,0,4,6
3,9,0,3,10
3,21,0,6,5
3,23,0,5,3
3,29,0,5,8
3,45,0,5,1
3,46,0,6,7
3,47,0,3,9
4,3,0,3,3
4,4,0,7,10
4,8,1,6,1
4,9,0,6,5
4,21,0,6,8
4,23,0,4,2
4,29,0,5,7
4,45,0,7,9
4,46,0,6,4
4,47,0,4,6
5,3,0,4,3
5,4,0,3,9
5,8,0,4,4
5,9,1,5,1
5,21,0,3,2
5,23,0,3,5
5,29,0,6,7
5,45,0,3,10
5,46,0,5,6
5,47,0,7,8
6,3,0,3,3
6,4,0,5,8
6,8,1,5,6
6,9,0,4,2
6,21,0,6,9
6,23,0,7,7
6,29,0,3,10
6,45,0,4,1
6,46,0,7,5
6,47,0,7,4
7,3,1,7,8
7,4,0,5,1
7,8,0,7,5
7,9,0,6,2
7,21,0,3,3
7,23,0,5,6
7,29,0,4,7
7,45,0,3,10
7,46,0,6,9
7,47,0,3,4
8,3,0,4,10
8,4,0,5,7
8,8,0,4,3
8,9,1,5,6
8,21,0,6,1
8,23,0,7,5
8,29,0,3,9
8,45,0,6,8
8,46,0,6,2
8,47,0,3,4
9,3,0,3,9
9,4,1,6,10
9,8,0,4,5
9,9,0,4,8
9,21,0,6,1
9,23,0,3,4
9,29,0,4,6
9,45,0,4,3
9,46,0,3,7
9,47,0,6,2
10,3,0,6,6
10,4,0,5,5
10,8,0,3,8
10,9,0,7,2
10,21,1,6,10
10,23,0,5,9
10,29,0,7,7
10,45,0,3,3
10,46,0,4,4
10,47,0,4,1
11,3,0,4,2
11,4,0,6,3
11,8,0,4,7
11,9,0,6,6
11,21,1,6,8
11,23,0,4,10
11,29,0,4,9
11,45,0,3,1
11,46,0,5,4
11,47,0,4,5
12,3,0,7,6
12,4,0,5,3
12,8,0,6,7
12,9,1,6,8
12,21,0,6,4
12,23,0,5,1
12,29,0,3,2
12,45,0,3,5
12,46,0,6,9
12,47,0,5,10
13,3,0,6,8
13,4,1,4,2
13,8,0,7,6
13,9,0,5,9
13,21,0,7,4
13,23,0,4,5
13,29,0,3,7
13,45,0,7,10
13,46,0,4,1
13,47,0,4,3
14,3,1,3,6
14,4,0,4,10
14,8,0,6,8
14,9,0,7,7
14,21,0,6,5
14,23,0,5,9
14,29,0,5,2
14,45,0,6,4
14,46,0,4,3
14,47,0,4,1
15,3,0,6,6
15,4,0,6,2
15,8,0,5,3
15,9,1,5,1
15,21,0,4,5
15,23,0,5,10
15,29,0,3,7
15,45,0,3,8
15,46,0,5,4
15,47,0,5,9
16,3,1,4,5
16,4,0,3,8
16,8,0,4,9
16,9,0,5,6
16,21,0,6,10
16,23,0,6,7
16,29,0,4,1
16,45,0,5,3
16,46,0,5,2
16,47,0,4,4
17,3,1,4,8
17,4,0,5,10
17,8,0,3,5
17,9,0,5,1
17,21,0,4,3
17,23,0,5,7
17,29,0,4,6
17,45,0,7,2
17,46,0,3,4
17,47,0,3,9
18,3,0,3,8
18,4,1,5,2
18,8,0,3,7
18,9,0,5,5
18,21,0,7,9
18,23,0,7,4
18,29,0,6,1
18,45,0,3,10
18,46,0,6,3
18,47,0,5,6
19,3,0,3,5
19,4,0,3,3
19,8,0,7,6
19,9,1,7,4
19,21,0,6,2
19,23,0,6,8
19,29,0,3,7
19,45,0,7,1
19,46,0,7,9
19,47,0,6,10
20,3,0,7,4
20,4,0,4,7
20,8,1,7,3
20,9,0,7,2
20,21,0,3,8
20,23,0,7,10
20,29,0,5,5
20,45,0,3,6
20,46,0,7,1
20,47,0,6,9
21,3,0,5,8
21,4,0,3,10
21,8,0,6,2
21,9,0,4,5
